epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,num_adjs,epochs,hidden_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
112,0.8718758821487427,0.7321792244911194,1.994289517402649,0.44545453786849976,2.192488670349121,0.523809552192688,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.3709927983539094,0.37640937360235605,0.35879457368118917,0.44589317208364826,0.5238095238095238,0.4626747097765338,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,trigram,18634
110,0.884312093257904,0.7321792244911194,2.0007336139678955,0.4363636374473572,2.189754009246826,0.5164835453033447,0.5164835164835165,0.5164835164835165,0.5164835164835165,0.3681621105232217,0.3699278921208745,0.3547247170751007,0.43865437913056965,0.5164835164835165,0.4564891883736211,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,tfidf & trigram,18634
140,0.9444716572761536,0.7169042825698853,1.8715254068374634,0.48181816935539246,2.092933177947998,0.5128205418586731,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.37525151445441296,0.38473871969486,0.36723213099300056,0.46501515507726693,0.5128205128205128,0.47285200236227476,1,500,300,cosine,0.001,0.99,onlplab/alephbert-base,tfidf,18633
122,0.9918820858001709,0.7199592590332031,2.063082218170166,0.4363636374473572,2.250047206878662,0.5091575384140015,0.5091575091575091,0.5091575091575091,0.5091575091575091,0.3063029874067886,0.3229149262043999,0.3034973590822943,0.4259615257108991,0.5091575091575091,0.44866032873745404,3,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram & BOW-n_gram,18634
110,0.8939036130905151,0.7270875573158264,1.9739640951156616,0.4909090995788574,2.183032751083374,0.5018315315246582,0.5018315018315018,0.5018315018315018,0.5018315018315018,0.3329869444786986,0.34394023779988686,0.3226289235695451,0.4232944781831053,0.5018315018315018,0.43952049964935525,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,trigram & BOW-n_gram,18634
208,0.884300172328949,0.7311608791351318,1.798287272453308,0.5363636612892151,2.21724271774292,0.4981684982776642,0.4981684981684982,0.4981684981684982,0.4981684981684982,0.35999438186266147,0.37293338565268386,0.35682773834734616,0.4469431596735744,0.4981684981684982,0.4592836112390088,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf,18633
118,0.9821383953094482,0.7179226279258728,2.0744097232818604,0.4545454680919647,2.258434772491455,0.4981684982776642,0.4981684981684982,0.4981684981684982,0.4981684981684982,0.3119370739442424,0.3220591461819532,0.3047758163759319,0.4083940527636617,0.4981684981684982,0.4340670830163229,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & trigram,18634
122,0.7320231199264526,0.7780040502548218,1.8531537055969238,0.4909090995788574,2.331596851348877,0.4981684982776642,0.4981684981684982,0.4981684981684982,0.4981684981684982,0.3585058097312999,0.375054597773896,0.3536948328560837,0.44587193851899726,0.4981684981684982,0.4558880116031694,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,tfidf & trigram,18634
165,0.9848152995109558,0.6883910298347473,1.7950602769851685,0.5090909004211426,2.080324172973633,0.4981684982776642,0.4981684981684982,0.4981684981684982,0.4981684981684982,0.3508068783068783,0.36910784959030574,0.3454686943412434,0.44763431013431015,0.4981684981684982,0.4564473383639511,1,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf,18633
112,1.0081746578216553,0.7107942700386047,2.064363479614258,0.4363636374473572,2.2376770973205566,0.4981684982776642,0.4981684981684982,0.4981684981684982,0.4981684981684982,0.2974905698589909,0.32134926963874333,0.2989352104546805,0.4055066904690965,0.4981684981684982,0.4340572624531139,3,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram & BOW-n_gram,18634
118,0.988270103931427,0.7158859372138977,2.0551998615264893,0.4545454680919647,2.2495532035827637,0.49450549483299255,0.4945054945054945,0.4945054945054945,0.4945054945054945,0.2962433014516348,0.3124620051813034,0.2908061873714048,0.4047478721929271,0.4945054945054945,0.42994917409394245,2,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,18634
111,0.9741858243942261,0.7240325808525085,2.091369152069092,0.4272727370262146,2.264054775238037,0.4908424913883209,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.3105965103066552,0.3230468005029409,0.30345653329967054,0.4096304475903138,0.4908424908424908,0.4302095256846388,2,500,300,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,18634
103,0.9835981726646423,0.7148675918579102,2.0095298290252686,0.4545454680919647,2.146014928817749,0.4908424913883209,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.2936218595516508,0.3097912078175236,0.28877183927183925,0.39727048674022003,0.4908424908424908,0.4210145593112626,3,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,tfidf & trigram & BOW-n_gram,18634
111,0.9631736278533936,0.7270875573158264,2.091400623321533,0.41818180680274963,2.2507944107055664,0.4908424913883209,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.31033990700657366,0.32489865235479265,0.3049692036358703,0.40783648585846394,0.4908424908424908,0.4303186028460754,1,500,300,cosine,0.001,0.99,dicta-il/BEREL,trigram,18634
104,0.839741587638855,0.753564178943634,1.8598086833953857,0.48181816935539246,2.2656025886535645,0.4908424913883209,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.31575936182553827,0.3506578525438175,0.3206907036318801,0.4195104848466193,0.4908424908424908,0.43926623903999473,3,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-composition-classification,tfidf & trigram & BOW-n_gram,18634
115,1.00055992603302,0.7158859372138977,2.0745716094970703,0.4636363685131073,2.2479395866394043,0.4908424913883209,0.4908424908424908,0.4908424908424908,0.4908424908424908,0.3023338993410678,0.31279988692269395,0.29465427125438676,0.40050987345091094,0.4908424908424908,0.42574054996451516,1,500,300,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,18634
